,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
w,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
x,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
y,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
z,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
_,-1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,4,2,3,2,3,4,1,2,3,41,44,-1,44,46,46,46,46,-1,52,-1,52,54,54,54,54,-1
+,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,15,15,15,15,15,15,15,15,15,15,41,44,15,44,46,46,46,46,15,52,15,52,54,54,54,54,15
-,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,15,15,15,15,15,15,15,15,15,15,41,44,15,44,46,46,46,46,15,52,15,52,54,54,54,54,15
*,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,24,24,24,24,24,24,24,24,24,24,24,41,44,24,44,46,46,46,46,24,52,24,52,54,54,54,54,24
/,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,28,28,28,28,28,28,28,28,28,28,28,41,44,28,44,46,46,46,46,28,52,28,52,54,54,54,54,28
&,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,15,15,15,15,15,15,15,15,15,15,41,44,15,44,46,46,46,46,15,52,15,52,54,54,54,54,15
<,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,21,21,21,21,21,21,21,21,41,44,21,44,46,46,46,46,21,52,21,52,54,54,54,54,21
>,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,18,18,18,18,18,18,18,18,18,18,41,44,18,44,46,46,46,46,18,52,18,52,54,54,54,54,18
|,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,15,15,15,15,15,15,15,15,15,15,41,44,15,44,46,46,46,46,15,52,15,52,54,54,54,54,15
^,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,15,15,15,15,15,15,15,15,15,15,41,44,15,44,46,46,46,46,15,52,15,52,54,54,54,54,15
=,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-1,17,-1,20,-1,-1,22,-1,-1,-1,-1,27,-1,-1,-1,16,16,16,16,16,16,16,16,16,16,16,41,44,16,44,46,46,46,46,16,52,16,52,54,54,54,54,16
%,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,15,15,15,15,15,15,15,15,15,15,41,44,15,44,46,46,46,46,15,52,15,52,54,54,54,54,15
!,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,26,26,26,26,26,26,26,26,26,26,41,44,26,44,46,46,46,46,26,52,26,52,54,54,54,54,26
.,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,14,14,14,14,14,14,14,14,14,14,14,-1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,41,44,14,44,46,46,46,46,14,52,14,52,54,54,54,54,14
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,38,0,0,0,41,44,0,44,46,46,46,46,0,52,0,52,54,54,54,54,0
#,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,-1,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,44,41,44,46,46,46,46,41,52,41,52,54,54,54,54,41
\n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,46,46,46,46,0,-1,0,-1,54,54,54,54,0
"""",42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,-1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,43,45,43,47,47,48,49,42,52,42,52,54,54,54,54,42
',50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,-1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,41,44,50,44,46,46,46,46,50,51,53,51,55,55,56,57,50
